UTC Time,Latitude,Longitude,GForce,satCount
134800.000,51.467943,5.374531,0.04,20
134800.000,51.467943,5.374531,0.05,20
134800.000,51.467943,5.374531,0.05,20
134800.000,51.467943,5.374531,0.04,20
134800.000,51.467943,5.374531,0.05,20
134800.000,51.467943,5.374531,0.04,20
134800.000,51.467943,5.374531,0.05,20
134800.000,51.467943,5.374531,0.05,20
134800.000,51.467943,5.374531,0.04,20
134800.000,51.467943,5.374531,0.04,20
134801.000,51.467943,5.374531,0.03,20
134801.000,51.467943,5.374531,0.04,20
134801.000,51.467943,5.374531,0.04,20
134801.000,51.467943,5.374531,0.05,20
134801.000,51.467943,5.374531,0.05,20
134801.000,51.467943,5.374531,0.03,20
134801.000,51.467943,5.374531,0.05,20
134801.000,51.467943,5.374531,0.04,20
134801.000,51.467943,5.374531,0.05,20
134801.000,51.467943,5.374531,0.04,20
134802.000,51.467943,5.374531,0.04,20
134802.000,51.467943,5.374531,0.04,20
134802.000,51.467943,5.374531,0.05,20
134802.000,51.467943,5.374531,0.04,20
134802.000,51.467943,5.374531,0.04,20
134802.000,51.467943,5.374531,0.05,20
134802.000,51.467943,5.374531,0.05,20
134802.000,51.467943,5.374531,0.05,20
134802.000,51.467943,5.374531,0.05,20
134802.000,51.467943,5.374531,0.04,20
134803.000,51.467943,5.374531,0.05,20
134803.000,51.467943,5.374531,0.04,20
134803.000,51.467943,5.374531,0.04,20
134803.000,51.467943,5.374531,0.05,20
134803.000,51.467943,5.374531,0.04,20
134803.000,51.467943,5.374531,0.05,20
134803.000,51.467943,5.374531,0.04,20
134803.000,51.467943,5.374531,0.04,20
134803.000,51.467943,5.374531,0.04,20
134803.000,51.467943,5.374531,0.05,20
134804.000,51.467943,5.374531,0.05,20
134804.000,51.467943,5.374531,0.05,20
134804.000,51.467943,5.374531,0.04,20
134804.000,51.467943,5.374531,0.05,20
134804.000,51.467943,5.374531,0.05,20
134804.000,51.467943,5.374531,0.05,20
134804.000,51.467943,5.374531,0.05,20
134804.000,51.467943,5.374531,0.05,20
134804.000,51.467943,5.374531,0.05,20
134804.000,51.467943,5.374531,0.04,20
134805.000,51.467943,5.374531,0.05,20
134805.000,51.467943,5.374531,0.04,20
134805.000,51.467943,5.374531,0.04,20
134805.000,51.467943,5.374531,0.04,20
134805.000,51.467943,5.374531,0.04,20
134805.000,51.467943,5.374531,0.05,20
134805.000,51.467943,5.374531,0.04,20
134805.000,51.467943,5.374531,0.03,20
134805.000,51.467943,5.374531,0.04,20
134805.000,51.467943,5.374531,0.03,20
134806.000,51.467943,5.374531,0.04,20
134806.000,51.467943,5.374531,0.03,20
134806.000,51.467943,5.374531,0.04,20
134806.000,51.467943,5.374531,0.05,20
134806.000,51.467943,5.374531,0.04,20
134806.000,51.467943,5.374531,0.05,20
134806.000,51.467943,5.374531,0.05,20
134806.000,51.467943,5.374531,0.05,20
134806.000,51.467943,5.374531,0.05,20
134806.000,51.467943,5.374531,0.04,20
134807.000,51.467943,5.374531,0.04,20
134807.000,51.467943,5.374531,0.04,20
134807.000,51.467943,5.374531,0.04,20
134807.000,51.467943,5.374531,0.04,20
134807.000,51.467943,5.374531,0.04,20
